"","CB_cluster1","CB_cluster2","CB_cluster3","CB_cluster4","CB_cluster5","CB_cluster6","CB_cluster7","CB_cluster8","CB_cluster9","CB_cluster10","CB_cluster11","CB_first_round","FC_cluster1","FC_cluster2","FC_cluster3","FC_cluster4","FC_cluster5","FC_cluster6","FC_cluster7","FC_cluster8","FC_cluster9","FC_cluster10","FC_cluster11","FC_cluster12","FC_cluster13","FC_cluster14","FC_first_round","PC_cluster1","PC_cluster2","PC_cluster3","PC_cluster4","PC_cluster5","PC_cluster6","PC_cluster7","PC_cluster8","PC_cluster9","PC_cluster10","PC_cluster11","PC_cluster12","PC_cluster13","PC_cluster14","PC_first_round","EP_cluster1","EP_cluster2","EP_cluster3","EP_cluster4","EP_cluster5","EP_cluster6","EP_cluster7","EP_cluster8","EP_first_round","GPNB_cluster1","GPNB_cluster2","GPNB_cluster3","GPNB_cluster4","GPNB_cluster5","GPNB_cluster6","GPNB_cluster7","GPNB_cluster8","GPNB_cluster9","GPNB_cluster10","GPNB_cluster11","GPNB_first_round","HP_cluster1","HP_cluster2","HP_cluster3","HP_cluster4","HP_cluster5","HP_cluster6","HP_cluster7","HP_cluster8","HP_cluster9","HP_cluster10","HP_cluster11","HP_cluster12","HP_cluster13","HP_cluster14","HP_cluster15","HP_cluster16","HP_cluster17","HP_first_round","STR_cluster1","STR_cluster2","STR_cluster3","STR_cluster4","STR_cluster5","STR_cluster6","STR_cluster7","STR_cluster8","STR_cluster9","STR_cluster10","STR_cluster11","STR_cluster12","STR_cluster13","STR_cluster14","STR_cluster15","STR_first_round","SNVTA_cluster1","SNVTA_cluster2","SNVTA_cluster3","SNVTA_cluster4","SNVTA_cluster5","SNVTA_cluster6","SNVTA_cluster7","SNVTA_cluster8","SNVTA_cluster9","SNVTA_cluster10","SNVTA_cluster11","SNVTA_cluster12","SNVTA_cluster13","SNVTA_cluster14","SNVTA_first_round","TH_cluster1","TH_cluster2","TH_cluster3","TH_cluster4","TH_cluster5","TH_cluster6","TH_cluster7","TH_cluster8","TH_cluster9","TH_cluster10","TH_cluster11","TH_cluster12","TH_first_round"
"1704","Ncor1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prrc2c",NA,NA,NA,NA,NA,"Srcin1",NA,NA,NA,"Trib2",NA,NA,NA,NA,"Irx3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myl9",NA,NA,NA,NA,NA,NA,NA,NA,"Psmb8",NA,"Synpr",NA,"Rev1",NA,NA,"Zmym1",NA,NA,"Srrm1",NA,"Nnat","Zbtb7a",NA,NA,NA,"Trib1","Tpr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrmp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rpf2","Sh3bgrl",NA,"Zfhx3","Zfp329",NA,"Gm13496",NA,NA,"Zic1",NA,NA,NA,NA,NA,NA,"Prpf6",NA,"Tcf12",NA,NA,"Olfm1",NA,NA,"Zcchc18","Upp2",NA,NA,NA,"Tstd3",NA,NA,NA,"Zfp422","Psma7"
"1705","Ndc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prrg2",NA,NA,NA,NA,NA,"Srek1",NA,NA,NA,"Tril",NA,NA,NA,NA,"Isg15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mylip",NA,NA,NA,NA,NA,NA,NA,NA,"Psmb9",NA,"Syt1",NA,"Rev3l",NA,NA,"Zmym5",NA,NA,"Srrm2",NA,"Nodal","Zc3h13",NA,NA,NA,"Trib2","Trabd2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rpgrip1l","Sh3bgrl3",NA,"Zfhx4","Zfp365",NA,"Gm13536",NA,NA,"Zic5",NA,NA,NA,NA,NA,NA,"Prr14l",NA,"Tcf25",NA,NA,"Olfml2a",NA,NA,"Zcchc6","Uqcc2",NA,NA,NA,"Ttc1",NA,NA,NA,"Zfp451","Psma8"
"1706","Ndnl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prrt2",NA,NA,NA,NA,NA,"Srek1ip1",NA,NA,NA,"Trim2",NA,NA,NA,NA,"Isg20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mylk",NA,NA,NA,NA,NA,NA,NA,NA,"Psme1",NA,"Syt11",NA,"Rexo2",NA,NA,"Zmynd11",NA,NA,"Srrm3",NA,"Nos1","Zc3h15",NA,NA,NA,"Tril","Traip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrp10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rph3a","Sh3bp5",NA,"Zfp106","Zfp37",NA,"Gm13861",NA,NA,"Zkscan3",NA,NA,NA,NA,NA,NA,"Prr5l",NA,"Tcf4",NA,NA,"Olfml3",NA,NA,"Zdbf2","Uri1",NA,NA,NA,"Ttc14",NA,NA,NA,"Zfp462","Psmb8"
"1707","Ndrg1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prune2",NA,NA,NA,NA,NA,"Srgn",NA,NA,NA,"Trim44",NA,NA,NA,NA,"Islr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mylpf",NA,NA,NA,NA,NA,NA,NA,NA,"Ptbp3",NA,"Syt2",NA,"Rexo4",NA,NA,"Zranb1",NA,NA,"Srrt",NA,"Nos3","Zc3h6",NA,NA,NA,"Trim2","Trank1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrp5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rpl13a","Sh3glb1",NA,"Zfp110","Zfp386",NA,"Gm14005",NA,NA,"Zmat1",NA,NA,NA,NA,NA,NA,"Prrc2c",NA,"Tcf7",NA,NA,"Olfr287",NA,NA,"Zdhhc2","Uso1",NA,NA,NA,"Ttc27",NA,NA,NA,"Zfp553","Psmb9"
"1708","Ndrg2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psd3",NA,NA,NA,NA,NA,"Srpk2",NA,NA,NA,"Trim56",NA,NA,NA,NA,"Isoc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myo10",NA,NA,NA,NA,NA,NA,NA,NA,"Ptch1",NA,"Syt4",NA,"Rfc1",NA,NA,"Zranb2",NA,NA,"Srsf11",NA,"Nostrin","Zcchc11",NA,NA,NA,"Trim59","Trerf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rpl4","Sh3kbp1",NA,"Zfp292","Zfp428",NA,"Gm14204",NA,NA,"Zmym1",NA,NA,NA,NA,NA,NA,"Psip1",NA,"Tcof1",NA,NA,"Olfr558",NA,NA,"Zdhhc20","Usp1",NA,NA,NA,"Ttc3",NA,NA,NA,"Zfp595","Psme1"
"1709","Ndst3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psip1",NA,NA,NA,NA,NA,"Srrm1",NA,NA,NA,"Trio",NA,NA,NA,NA,"Isyna1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myo1b",NA,NA,NA,NA,NA,NA,NA,NA,"Ptgds",NA,"Syt5",NA,"Rftn2",NA,NA,"Zrsr1",NA,NA,"Ssb",NA,"Notch1","Zcchc12",NA,NA,NA,"Trip11","Trf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rplp1","Sh3rf2",NA,"Zfp30","Zfp612",NA,"Gm14207",NA,NA,"Zmynd11",NA,NA,NA,NA,NA,NA,"Psma2",NA,"Tead1",NA,NA,"Olig1",NA,NA,"Zeb2","Usp15",NA,NA,NA,"Ttf1",NA,NA,NA,"Zfp638","Ptbp3"
"1710","Ndufa1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psma3",NA,NA,NA,NA,NA,"Srrm2",NA,NA,NA,"Trip11",NA,NA,NA,NA,"Itfg3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myo1f",NA,NA,NA,NA,NA,NA,NA,NA,"Ptges3l",NA,"Syt6",NA,"Rgcc",NA,NA,"Zrsr2",NA,NA,"St13",NA,"Notch2","Zcchc18",NA,NA,NA,"Trove2","Trhr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rpp38","Sh3rf3",NA,"Zfp318","Zfp638",NA,"Gm14964",NA,NA,"Zranb1",NA,NA,NA,NA,NA,NA,"Psma7",NA,"Tec",NA,NA,"Onecut2",NA,NA,"Zer1","Usp16",NA,NA,NA,"Ttll7",NA,NA,NA,"Zfp704","Ptch1"
"1711","Ndufa10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psma7",NA,NA,NA,NA,NA,"Srrm3",NA,NA,NA,"Trnp1",NA,NA,NA,NA,"Itga1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myo6",NA,NA,NA,NA,NA,NA,NA,NA,"Ptgis",NA,"Syt7",NA,"Rgma",NA,NA,NA,NA,NA,"St18",NA,"Notch3","Zdbf2",NA,NA,NA,"Trpm3","Trib1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rprm","Shfm1",NA,"Zfp322a","Zfp704",NA,"Gm14966",NA,NA,"Zrsr1",NA,NA,NA,NA,NA,NA,"Psmb1",NA,"Tecpr1",NA,NA,"Opalin",NA,NA,"Zfc3h1","Usp25",NA,NA,NA,"Ttn",NA,NA,NA,"Zfp711","Ptgds"
"1712","Ndufa12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psmd12",NA,NA,NA,NA,NA,"Srrm4",NA,NA,NA,"Tro",NA,NA,NA,NA,"Itga11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myoc",NA,NA,NA,NA,NA,NA,NA,NA,"Ptgs1",NA,"Sytl4",NA,"Rgs17",NA,NA,NA,NA,NA,"St8sia3",NA,"Notch4","Zeb1",NA,NA,NA,"Trps1","Trib2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rprml","Shoc2",NA,"Zfp326","Zfp91",NA,"Gm15232",NA,NA,"Zrsr2",NA,NA,NA,NA,NA,NA,"Psmc1",NA,"Tek",NA,NA,"Ophn1",NA,NA,"Zfhx3","Usp33",NA,NA,NA,"Ttyh1",NA,NA,NA,"Zfp866","Ptges"
"1713","Ndufa13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psmd14",NA,NA,NA,NA,NA,"Srsf11",NA,NA,NA,"Trove2",NA,NA,NA,NA,"Itga5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myof",NA,NA,NA,NA,NA,NA,NA,NA,"Pth1r",NA,"Tac1",NA,"Rgs2",NA,NA,NA,NA,NA,"Stab1",NA,"Notum","Zeb2",NA,NA,NA,"Tsc22d4","Tril",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps14","Shtn1",NA,"Zfp354c","Zfr",NA,"Gm15417",NA,NA,"Zswim6",NA,NA,NA,NA,NA,NA,"Psmd12",NA,"Tenm1",NA,NA,"Osmr",NA,NA,"Zfhx4","Usp34",NA,NA,NA,"Tuba1a",NA,NA,NA,"Zfp91","Ptgfr"
"1714","Ndufa2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psmd7",NA,NA,NA,NA,NA,"Ssb",NA,NA,NA,"Trps1",NA,NA,NA,NA,"Itga6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrf",NA,NA,NA,NA,NA,NA,NA,NA,"Ptk7",NA,"Tac2",NA,"Rgs5",NA,NA,NA,NA,NA,"Stag2",NA,"Nov","Zfhx3",NA,NA,NA,"Tshz1","Trim2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrc74b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps21","Siglech",NA,"Zfp365","Zhx1",NA,"Gm15440",NA,NA,"Zwint",NA,NA,NA,NA,NA,NA,"Psmd7",NA,"Terf1",NA,NA,"Ostf1",NA,NA,"Zfp292","Usp46",NA,NA,NA,"Tubb3",NA,NA,NA,"Zfyve19","Ptgis"
"1715","Ndufa3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psme4",NA,NA,NA,NA,NA,"Ssbp3",NA,NA,NA,"Tsc22d1",NA,NA,NA,NA,"Itga7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myt1",NA,NA,NA,NA,NA,NA,NA,NA,"Ptms",NA,"Tacr1",NA,"Rgs7bp",NA,NA,NA,NA,NA,"Stard9",NA,"Npas3","Zfp292",NA,NA,NA,"Tshz2","Trim56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrriq1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps26","Sipa1l1",NA,"Zfp40","Zkscan1",NA,"Gm15471",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psme4",NA,"Tet1",NA,NA,"Otof",NA,NA,"Zfp318","Usp53",NA,NA,NA,"Tubb4a",NA,NA,NA,"Zglp1","Ptgr1"
"1716","Ndufa4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptbp3",NA,NA,NA,NA,NA,"Sst",NA,NA,NA,"Tsc22d4",NA,NA,NA,NA,"Itga9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myt1l",NA,NA,NA,NA,NA,NA,NA,NA,"Ptn",NA,"Tacr3",NA,"Rgs9",NA,NA,NA,NA,NA,"Stk3",NA,"Npas4","Zfp318",NA,NA,NA,"Tshz3","Trim62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lrrk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps3","Six3",NA,"Zfp462","Zmat1",NA,"Gm15503",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptbp3",NA,"Tfrc",NA,NA,"Otulin",NA,NA,"Zfp445","Usp8",NA,NA,NA,"Tulp4",NA,NA,NA,"Zkscan1","Ptgs1"
"1717","Ndufa5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptchd1",NA,NA,NA,NA,NA,"St13",NA,NA,NA,"Tshz1",NA,NA,NA,NA,"Itgam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N4bp2",NA,NA,NA,NA,NA,NA,NA,NA,"Ptp4a3",NA,"Taf3",NA,"Rictor",NA,NA,NA,NA,NA,"Stmn1",NA,"Npy","Zfp384",NA,NA,NA,"Tspan13","Trip11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lsamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps4l","Skil",NA,"Zfp493","Zmat2",NA,"Gm15545",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptgds",NA,"Tgfb2",NA,NA,"Otx2",NA,NA,"Zfp503","Usp9x",NA,NA,NA,"Twistnb",NA,NA,NA,"Zmiz1","Pth1r"
"1718","Ndufa6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptgds",NA,NA,NA,NA,NA,"St3gal5",NA,NA,NA,"Tshz2",NA,NA,NA,NA,"Itgb1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naaa",NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn12",NA,"Tagln",NA,"Rif1",NA,NA,NA,NA,NA,"Stmn2",NA,"Npy1r","Zfp385b",NA,NA,NA,"Tspan18","Trnp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lsr",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps5","Skp1a",NA,"Zfp512","Zmat4",NA,"Gm15787",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptma",NA,"Tgm2",NA,NA,"P2ry1",NA,NA,"Zfp513","Utp14a",NA,NA,NA,"Tyw5",NA,NA,NA,"Zmym1","Ptn"
"1719","Ndufaf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptms",NA,NA,NA,NA,NA,"St6galnac5",NA,NA,NA,"Tshz3",NA,NA,NA,NA,"Itgb2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naalad2",NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn18",NA,"Tanc2",NA,"Rin2",NA,NA,NA,NA,NA,"Stmn4",NA,"Nqo2","Zfp40",NA,NA,NA,"Tspan2","Trp53i11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lst1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rps6kb1","Slain2",NA,"Zfp605","Zmynd11",NA,"Gm15821",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptms",NA,"Tgs1",NA,NA,"P2ry12",NA,NA,"Zfp608","Utp14b",NA,NA,NA,"U2surp",NA,NA,NA,"Zmynd8","Ptpn14"
"1720","Ndufaf2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptn",NA,NA,NA,NA,NA,"Stard8",NA,NA,NA,"Tsn",NA,NA,NA,NA,"Itgb4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nacc2",NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn5",NA,"Tax1bp1",NA,"Rit2",NA,NA,NA,NA,NA,"Stox2",NA,"Nr1d1","Zfp462",NA,NA,NA,"Tspan7","Trpc7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ltbp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rragd","Slc1a2",NA,"Zfp612","Zmynd8",NA,"Gm15859",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptn",NA,"Th",NA,NA,"P2ry13",NA,NA,"Zfp612","Utp23",NA,NA,NA,"Uaca",NA,NA,NA,"Znrd1","Ptpn18"
"1721","Ndufaf4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn11",NA,NA,NA,NA,NA,"Stc1",NA,NA,NA,"Tspan13",NA,NA,NA,NA,"Itgb5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naip2",NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn6",NA,"Tbc1d4",NA,"Rlbp1",NA,NA,NA,NA,NA,"Strbp",NA,"Nr1h3","Zfp488",NA,NA,NA,"Tspan9","Trpm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ltbp4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rrbp1","Slc1a3",NA,"Zfp638","Znhit6",NA,"Gm15880",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptp4a2",NA,"Thoc1",NA,NA,"P2ry14",NA,NA,"Zfp618","Utrn",NA,NA,NA,"Uba5",NA,NA,NA,"Zranb2","Ptpn4"
"1722","Ndufaf6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprb",NA,NA,NA,NA,NA,"Steap2",NA,NA,NA,"Tspan2",NA,NA,NA,NA,"Itih2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nap1l5",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprb",NA,"Tbc1d8",NA,"Rlf",NA,NA,NA,NA,NA,"Strn3",NA,"Nr2e1","Zfp536",NA,NA,NA,"Ttbk2","Trps1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ltbr",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rrp1","Slc24a2",NA,"Zfp667","Zranb2",NA,"Gm15972",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn1",NA,"Thoc2",NA,NA,"P3h3",NA,NA,"Zfp65","Uvrag",NA,NA,NA,"Ubash3b",NA,NA,NA,"Zrsr2","Ptpn6"
"1723","Ndufaf7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprd",NA,NA,NA,NA,NA,"Stk40",NA,NA,NA,"Tspan3",NA,NA,NA,NA,"Itih3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Napb",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprc",NA,"Tbr1",NA,"Rlim",NA,NA,NA,NA,NA,"Stxbp4",NA,"Nr2f1","Zfp638",NA,NA,NA,"Ttc14","Tsc22d4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ltc4s",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rrp1b","Slc25a13",NA,"Zfp804a","Zrsr1",NA,"Gm16006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn11",NA,"Thoc7",NA,NA,"Pabpc1",NA,NA,"Zfp758","Uvssa",NA,NA,NA,"Ubb",NA,NA,NA,"Zswim6","Ptprb"
"1724","Ndufb10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpre",NA,NA,NA,NA,NA,"Stmn2",NA,NA,NA,"Tspan6",NA,NA,NA,NA,"Itih5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naprt",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprcap",NA,"Tcaf1",NA,"Rn18s-rs5",NA,NA,NA,NA,NA,"Suco",NA,"Nr2f2","Zfp704",NA,NA,NA,"Ttc28","Tshz1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luc7l3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsbn1l","Slc25a3",NA,"Zfp91","Zwint",NA,"Gm16046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpn2",NA,"Thrap3",NA,NA,"Padi2",NA,NA,"Zfp800","Vcam1",NA,NA,NA,"Ubc",NA,NA,NA,"Zzz3","Ptprc"
"1725","Ndufb3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprt",NA,NA,NA,NA,NA,"Stmn3",NA,NA,NA,"Tspan7",NA,NA,NA,NA,"Itm2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nat1",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprd",NA,"Tcerg1l",NA,"Rnase4",NA,NA,NA,NA,NA,"Sugt1",NA,"Nr4a1","Zfp804a",NA,NA,NA,"Ttc3","Tshz2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsf1","Slc25a4",NA,"Zfr","Zyg11b",NA,"Gm16168",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpra",NA,"Tiam1",NA,NA,"Pak3",NA,NA,"Zfp804a","Vegfc",NA,NA,NA,"Ube2k",NA,NA,NA,NA,"Ptprd"
"1726","Ndufb7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprz1",NA,NA,NA,NA,NA,"Stmn4",NA,NA,NA,"Ttc14",NA,NA,NA,NA,"Itm2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nat2",NA,NA,NA,NA,NA,NA,NA,NA,"Ptpre",NA,"Tcf25",NA,"Rnd2",NA,NA,NA,NA,NA,"Supt16",NA,"Nr4a2","Zfp804b",NA,NA,NA,"Ttf1","Tshz3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luzp2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsl1d1","Slc25a5",NA,"Zhx1","l7Rn6",NA,"Gm16755",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprb",NA,"Timm8b",NA,NA,"Pald1",NA,NA,"Zfr","Vezf1",NA,NA,NA,"Ube3a",NA,NA,NA,NA,"Ptprg"
"1727","Ndufc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptrf",NA,NA,NA,NA,NA,"Stox2",NA,NA,NA,"Ttc28",NA,NA,NA,NA,"Itm2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nat8",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprg",NA,"Tcf4",NA,"Rnf122",NA,NA,NA,NA,NA,"Supt6",NA,"Nr4a3","Zfp811",NA,NA,NA,"Ttr","Tspan13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lxn",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsrc1","Slc2a1",NA,"Zmat2",NA,NA,"Gm17025",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprd",NA,"Timp2",NA,NA,"Palld",NA,NA,"Zic1","Vim",NA,NA,NA,"Ubl3",NA,NA,NA,NA,"Ptprr"
"1728","Ndufs6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pum1",NA,NA,NA,NA,NA,"Strbp",NA,NA,NA,"Ttc3",NA,NA,NA,NA,"Itpkb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nbl1",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprm",NA,"Tcf7l2",NA,"Rnf128",NA,NA,NA,NA,NA,"Suz12",NA,"Nrarp","Zfp945",NA,NA,NA,"Ttyh1","Tspan18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ly6a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsrc2","Slc35d3",NA,"Zmynd11",NA,NA,"Gm17455",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptpre",NA,"Timp3",NA,NA,"Palmd",NA,NA,"Zic3","Vimp",NA,NA,NA,"Ubn1",NA,NA,NA,NA,"Ptprs"
"1729","Ndufv3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pura",NA,NA,NA,NA,NA,"Strn3",NA,NA,NA,"Ttc4",NA,NA,NA,NA,"Itpr2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ncald",NA,NA,NA,NA,NA,NA,NA,NA,"Ptprr",NA,"Tead1",NA,"Rnf150",NA,NA,NA,NA,NA,"Sv2a",NA,"Nrcam","Zfr",NA,NA,NA,"Ttyh2","Tspan2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ly6c1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rsrp1","Slc35f1",NA,"Zranb1",NA,NA,"Gm17491",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ptprf",NA,"Tinagl1",NA,NA,"Pam",NA,NA,"Zic4","Vprbp",NA,NA,NA,"Ubn2",NA,NA,NA,NA,"Ptprt"
